Date,Close,Momentum,Signal,Position,Daily_Return,Portfolio_Value
2001-01-16,1293.05,81.04999999999995,0.0,1.0,0.004896055954925149,1500551.1577887288
2001-01-17,1297.9,69.60000000000014,0.0,1.0,0.003750821700630347,1506179.4576342686
2001-01-18,1305.95,57.0,0.0,1.0,0.006202326835657468,1515521.2749036697
2001-01-19,1329.1,65.54999999999995,0.0,1.0,0.01772655920977062,1542386.2525169167
2001-01-22,1348.0,93.70000000000005,0.0,1.0,0.0142201489729894,1564319.214801598
2001-01-23,1355.2,83.40000000000009,0.0,1.0,0.005341246290801127,1572674.629005286
2001-01-24,1365.95,74.70000000000005,0.0,1.0,0.007932408500590293,1585149.72660107
2001-01-25,1370.1,62.44999999999982,0.0,1.0,0.0030381785570481323,1589965.6945101402
2001-01-29,1342.05,14.799999999999955,0.0,1.0,-0.020472958178235134,1557414.3933416053
2001-01-30,1379.7,70.45000000000005,0.0,1.0,0.028054096345143664,1601106.2467817243
2001-01-31,1371.7,60.049999999999955,0.0,1.0,-0.005798361962745524,1591822.4532220708
2001-02-01,1359.15,71.85000000000014,0.0,1.0,-0.00914923088138797,1577258.5020753646
2001-02-02,1378.85,98.44999999999982,0.0,1.0,0.014494353088327028,1600119.8437160107
2001-02-05,1382.6,95.84999999999991,0.0,1.0,0.0027196576857526633,1604471.6219470983
2001-02-06,1387.1,100.34999999999991,0.0,1.0,0.0032547374511788796,1609693.7558244031
2001-02-07,1370.8,77.75,0.0,1.0,-0.011751135462475637,1590778.0264466093
2001-02-08,1395.5,97.59999999999991,0.0,1.0,0.01801867522614531,1619441.7390620392
2001-02-09,1405.7,99.75,0.0,1.0,0.007309208169115067,1631278.5758505973
2001-02-12,1402.2,73.10000000000014,0.0,1.0,-0.0024898627018566932,1627216.916168249
2001-02-13,1391.2,43.200000000000045,0.0,1.0,-0.007844815290258156,1614451.7000237256
2001-02-14,1393.35,38.149999999999864,0.0,1.0,0.0015454284071303448,1616946.7195428824
2001-02-15,1416.7,50.75,0.0,1.0,0.01675817274912994,1644043.791995121
2001-02-16,1381.35,11.25,0.0,1.0,-0.024952354062257487,1603021.0292034023
2001-02-19,1384.8,42.75,0.0,1.0,0.002497556737973694,1607024.665176003
2001-02-20,1383.85,4.149999999999864,0.0,1.0,-0.0006860196418255748,1605922.214690794
2001-02-21,1370.1,-1.6000000000001364,-1.0,0.0,-0.0,1605922.214690794
2001-02-22,1355.1,-4.050000000000182,0.0,0.0,-0.0,1605922.214690794
2001-02-23,1320.45,-58.399999999999864,0.0,0.0,-0.0,1605922.214690794
2001-02-26,1312.4,-70.19999999999982,0.0,0.0,-0.0,1605922.214690794
2001-02-27,1295.55,-91.54999999999995,0.0,0.0,-0.0,1605922.214690794
2001-02-28,1351.4,-19.399999999999864,0.0,0.0,0.0,1605922.214690794
2001-03-01,1358.05,-37.450000000000045,0.0,0.0,0.0,1605922.214690794
2001-03-02,1306.35,-99.35000000000014,0.0,0.0,-0.0,1605922.214690794
